Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
1970-12-30,Finley Coal No. 15 & 16,Hyden,KY,38,Coal,Explosion,UG,Coal
1971-04-11,Barnett Complex Mine,Rosiclare,IL,7,Flurospar,Hydrogen Sulfide Gas,UG,Nonmetal
1972-02-26,Buffalo Mining Co.,Saunders,WV,114,Coal,Dam failure,UG,Coal
1972-05-02,Sunshine Mining Company,Kellogg,ID,91,Silver,Fire,UG,Metal
1972-07-22,Blacksville No. 1,Blacksville,WV,9,Coal,Fire,UG,Coal
1972-12-16,Itmann No. 3,Itmann,WV,5,Coal,Explosion,UG,Coal
1976-03-09,Scotia,Ovenfork,KY,15,Coal,Explosion,UG,Coal
1976-03-11,Scotia (second) *,Ovenfork,KY,11,Coal,Explosion,UG,Coal
1977-03-01,Porter Tunnel,Tower City,PA,9,Coal,Flood,UG,Coal
1978-04-03,Moss No. 3 *,Duty,VA,5,Coal,Suffocation (oxygen deficient air),UG,Coal
1979-06-08,Belle Isle Mine,Franklin,LA,5,Salt,Gas explosion,UG,Nonmetal
1980-11-07,Ferrell No. 17,Uneeda,WV,5,Coal,Explosion,UG,Coal
1981-04-14,Mid-Continent Resources Dutch Creek #1,Redstone,CO,15,Coal,Explosion,UG,Coal
1981-12-07,Adkins Coal Mine #11,Kite,KY,8,Coal,Explosion,UG,Coal
1981-12-08,Grundy Mining Co. Mine #21,Whitewell,TN,13,Coal,Explosion,UG,Coal
1982-01-20,RHF No. 1,Craynor,KY,7,Coal,Explosion,UG,Coal
1983-06-21,McClure #1 Mine,McClure,VA,7,Coal,Explosion,UG,Coal
1984-12-19,Wilberg Mine,Orangeville,UT,27,Coal,Fire,UG,Coal
1986-02-06,Loveridge No. 22,Fairview,WV,5,Coal,Collapsed coal pile caused suffocation,UG,Coal
1989-09-13,William Station No. 9 Mine,Sullivan,KY,10,Coal,Explosion,UG,Coal
1992-12-07,No. 3 Mine,Norton,VA,8,Coal,Explosion,UG,Coal
2001-09-23,No. 5 Mine,Brookwood,AL,13,Coal,Explosion,UG,Coal
2006-01-02,Sago Mine,Buckhannon,WV,12,Coal,Explosion,UG,Coal
2006-05-20,Darby Mine No. 1,Middlesboro,KY,5,Coal,Explosion,UG,Coal
2007-08-06,Crandall Canyon Mine **,Huntington,UT,6,Coal,Fall of face or rib,UG,Coal
2010-04-05,Upper Big Branch Mine-South,Montcoal,WV,29,Coal,Ignition or explosion of gas or dust,UG,Coal
